Zeit;Weg;Kraft;Länge;dL_ORG
9,28;2,73;4,58;2,78;2,77
9,30;2,74;4,57;2,78;2,78
9,32;2,74;4,60;2,78;2,78
9,34;2,75;4,59;2,79;2,79
9,36;2,75;4,57;2,79;2,79
9,38;2,76;4,60;2,79;2,79
9,40;2,76;4,59;2,80;2,79
9,42;2,77;4,57;2,80;2,79
9,44;2,78;4,60;2,80;2,80
9,46;2,78;4,59;2,80;2,80
9,48;2,79;4,58;2,80;2,80
9,50;2,79;4,60;2,81;2,80
9,52;2,80;4,59;2,81;2,81
9,54;2,81;4,58;2,81;2,81
9,56;2,81;4,61;2,81;2,81
9,58;2,82;4,59;2,82;2,82
9,60;2,82;4,58;2,82;2,82
9,62;2,83;4,60;2,83;2,82
9,64;2,84;4,58;2,83;2,82
9,66;2,84;4,57;2,83;2,83
9,68;2,85;4,60;2,83;2,83
9,70;2,85;4,58;2,83;2,83
9,72;2,86;4,57;2,84;2,83
9,74;2,86;4,59;2,84;2,84
9,76;2,87;4,57;2,84;2,84
9,78;2,88;4,57;2,84;2,84
9,80;2,88;4,59;2,85;2,85
9,82;2,89;4,57;2,85;2,85
9,84;2,89;4,56;2,85;2,85
9,86;2,90;4,58;2,85;2,85
9,88;2,90;4,56;2,86;2,86
9,90;2,91;4,57;2,86;2,86
9,92;2,92;4,59;2,86;2,86
9,94;2,92;4,56;2,86;2,86
9,96;2,93;4,57;2,87;2,87
9,98;2,93;4,59;2,87;2,87
10,00;2,94;4,56;2,87;2,87
10,02;2,95;4,57;2,88;2,87
10,04;2,95;4,59;2,88;2,87
10,06;2,96;4,56;2,88;2,88
10,08;2,96;4,56;2,88;2,88
10,10;2,97;4,58;2,89;2,88
10,12;2,97;4,56;2,89;2,88
10,14;2,98;4,56;2,89;2,89
10,16;2,99;4,58;2,89;2,89
10,18;2,99;4,56;2,90;2,90
10,20;3,00;4,57;2,90;2,90
10,22;3,00;4,58;2,90;2,90
10,24;3,01;4,56;2,90;2,90
10,26;3,02;4,57;2,90;2,90
10,28;3,02;4,59;2,91;2,91
10,30;3,03;4,56;2,91;2,91
10,32;3,03;4,57;2,91;2,91
10,34;3,04;4,58;2,91;2,91
10,36;3,04;4,56;2,92;2,91
10,38;3,05;4,57;2,92;2,92
10,40;3,06;4,59;2,92;2,92
10,42;3,06;4,57;2,92;2,92
10,44;3,07;4,58;2,93;2,93
10,46;3,07;4,59;2,93;2,93
10,48;3,08;4,56;2,93;2,93
10,50;3,09;4,58;2,93;2,93
10,52;3,09;4,58;2,94;2,93
10,54;3,10;4,56;2,94;2,93
10,56;3,10;4,58;2,94;2,94
10,58;3,11;4,58;2,94;2,94
10,60;3,11;4,55;2,94;2,94
10,62;3,12;4,58;2,95;2,94
10,64;3,13;4,58;2,95;2,95
10,66;3,13;4,55;2,95;2,95
10,68;3,14;4,57;2,95;2,95
10,70;3,14;4,58;2,96;2,96
10,72;3,15;4,55;2,96;2,96
10,74;3,16;4,57;2,96;2,96
10,76;3,16;4,57;2,97;2,96
10,78;3,17;4,55;2,97;2,97
10,80;3,17;4,57;2,97;2,97
10,82;3,18;4,57;2,97;2,97
10,84;3,18;4,55;2,98;2,97
10,86;3,19;4,57;2,98;2,98
10,88;3,20;4,57;2,98;2,98
10,90;3,20;4,54;2,98;2,98
10,92;3,21;4,57;2,99;2,99
10,94;3,21;4,56;2,99;2,99
10,96;3,22;4,53;2,99;2,99
10,98;3,23;4,56;2,99;2,99
11,00;3,23;4,55;3,00;3,00
11,02;3,24;4,53;3,00;3,00
11,04;3,24;4,56;3,00;3,00
11,06;3,25;4,56;3,00;3,00
11,08;3,25;4,54;3,01;3,01
11,10;3,26;4,56;3,01;3,01
11,12;3,27;4,56;3,01;3,01
11,14;3,27;4,53;3,01;3,01
11,16;3,28;4,56;3,01;3,01
11,18;3,28;4,55;3,02;3,02
11,20;3,29;4,54;3,02;3,02
11,22;3,30;4,56;3,03;3,02
11,24;3,30;4,56;3,03;3,02
11,26;3,31;4,54;3,03;3,03
11,28;3,31;4,57;3,03;3,03
11,30;3,32;4,55;3,03;3,03
11,32;3,32;4,53;3,04;3,03
11,34;3,33;4,57;3,04;3,04
11,36;3,34;4,55;3,04;3,04
11,38;3,34;4,54;3,04;3,04
11,40;3,35;4,56;3,05;3,04
11,42;3,35;4,56;3,05;3,05
11,44;3,36;4,54;3,05;3,05
11,46;3,37;4,56;3,05;3,05
11,48;3,37;4,55;3,06;3,05
11,50;3,38;4,54;3,06;3,06
11,52;3,38;4,56;3,06;3,06
11,54;3,39;4,55;3,06;3,06
11,56;3,39;4,54;3,07;3,06
11,58;3,40;4,56;3,07;3,06
11,60;3,41;4,55;3,07;3,07
11,62;3,41;4,54;3,07;3,07
11,64;3,42;4,56;3,07;3,07
11,66;3,42;4,54;3,07;3,07
11,68;3,43;4,53;3,08;3,07
11,70;3,44;4,56;3,08;3,08
11,72;3,44;4,54;3,08;3,08
11,74;3,45;4,53;3,08;3,08
11,76;3,45;4,56;3,09;3,08
11,78;3,46;4,54;3,09;3,08
11,80;3,46;4,53;3,09;3,09
11,82;3,47;4,56;3,09;3,09
11,84;3,48;4,54;3,10;3,09
11,86;3,48;4,53;3,10;3,09
11,88;3,49;4,55;3,10;3,10
11,90;3,49;4,54;3,10;3,10
11,92;3,50;4,53;3,10;3,10
11,94;3,51;4,55;3,11;3,10
11,96;3,51;4,53;3,11;3,11
11,98;3,52;4,52;3,11;3,11
12,00;3,52;4,54;3,11;3,11
12,02;3,53;4,52;3,11;3,11
12,04;3,53;4,52;3,12;3,11
12,06;3,54;4,55;3,12;3,11
12,08;3,55;4,52;3,12;3,12
12,10;3,55;4,52;3,12;3,12
12,12;3,56;4,54;3,13;3,12
12,14;3,56;4,51;3,13;3,12
12,16;3,57;4,51;3,13;3,13
12,18;3,58;4,53;3,13;3,13
12,20;3,58;4,51;3,13;3,13
12,22;3,59;4,51;3,14;3,13
12,24;3,59;4,54;3,14;3,14
12,26;3,60;4,52;3,14;3,14
12,28;3,60;4,52;3,14;3,14
12,30;3,61;4,54;3,15;3,14
12,32;3,62;4,51;3,15;3,15
12,34;3,62;4,52;3,15;3,15
12,36;3,63;4,53;3,15;3,15
12,38;3,63;4,51;3,15;3,15
12,40;3,64;4,52;3,16;3,15
12,42;3,65;4,54;3,16;3,15
12,44;3,65;4,51;3,16;3,16
12,46;3,66;4,52;3,16;3,16
12,48;3,66;4,54;3,16;3,16
12,50;3,67;4,51;3,17;3,16
12,52;3,68;4,52;3,17;3,17
12,54;3,68;4,53;3,17;3,17
12,56;3,69;4,51;3,17;3,17
12,58;3,69;4,52;3,17;3,17
12,60;3,70;4,53;3,18;3,18
12,62;3,70;4,51;3,18;3,18
12,64;3,71;4,51;3,18;3,18
12,66;3,72;4,53;3,18;3,18
12,68;3,72;4,50;3,18;3,18
12,70;3,73;4,51;3,19;3,18
12,72;3,73;4,52;3,19;3,19
12,74;3,74;4,50;3,19;3,19
12,76;3,75;4,52;3,19;3,19
12,78;3,75;4,53;3,20;3,19
12,80;3,76;4,50;3,20;3,19
12,82;3,76;4,51;3,20;3,19
12,84;3,77;4,52;3,20;3,20
12,86;3,77;4,49;3,20;3,20
12,88;3,78;4,51;3,21;3,20
12,90;3,79;4,51;3,21;3,20
12,92;3,79;4,49;3,21;3,20
12,94;3,80;4,51;3,21;3,21
12,96;3,80;4,51;3,21;3,21
12,98;3,81;4,49;3,21;3,21
13,00;3,82;4,50;3,21;3,21
13,02;3,82;4,50;3,22;3,21
13,04;3,83;4,49;3,22;3,21
13,06;3,83;4,50;3,22;3,22
13,08;3,84;4,51;3,22;3,22
13,10;3,84;4,49;3,22;3,22
13,12;3,85;4,51;3,22;3,22
13,14;3,86;4,51;3,23;3,22
13,16;3,86;4,48;3,23;3,22
13,18;3,87;4,51;3,23;3,23
13,20;3,87;4,50;3,23;3,23
13,22;3,88;4,48;3,23;3,23
13,24;3,89;4,51;3,23;3,23
13,26;3,89;4,51;3,24;3,24
13,28;3,90;4,49;3,24;3,24
13,30;3,90;4,51;3,24;3,24
13,32;3,91;4,51;3,24;3,24
13,34;3,91;4,49;3,25;3,24
13,36;3,92;4,52;3,25;3,24
13,38;3,93;4,51;3,25;3,24
13,40;3,93;4,49;3,25;3,25
13,42;3,94;4,52;3,25;3,25
13,44;3,94;4,51;3,25;3,25
13,46;3,95;4,49;3,25;3,25
13,48;3,96;4,53;3,25;3,25
13,50;3,96;4,51;3,25;3,25
13,52;3,97;4,50;3,25;3,25
13,54;3,97;4,52;3,26;3,25
13,56;3,98;4,51;3,26;3,25
13,58;3,98;4,49;3,26;3,25
13,60;3,99;4,52;3,26;3,25
13,62;4,00;4,51;3,26;3,26
13,64;4,00;4,49;3,26;3,26
13,66;4,01;4,52;3,26;3,26
13,68;4,01;4,51;3,26;3,26
13,70;4,02;4,49;3,26;3,26
13,72;4,03;4,51;3,26;3,26
13,74;4,03;4,50;3,26;3,26
13,76;4,04;4,49;3,26;3,26
13,78;4,04;4,51;3,27;3,26
13,80;4,05;4,50;3,27;3,26
13,82;4,05;4,49;3,27;3,26
13,84;4,06;4,52;3,27;3,27
13,86;4,07;4,50;3,27;3,27
